idCinema;nom;adresse;nbSalles;nbFauteuils
114;CINEMA LOUIS DAQUIN;76 RUE VICTOR HUGO;3;447
115;MAGIC CINEMA;RUE DU CHEMIN VERT;2;443
116;JEAN RENOIR;RUE DU GENERAL LECLERC;1;300
117;LA GRANGE DE LA TREMBLAYE;RUE DU PARC;1;338
118;LE FORUM;PLACE DU FORUM;1;114
119;SALLE ANDRE MALRAUX;25 COURS DE LA REPUBLIQUE;1;324
120;GERARD PHILIPE;2 RUE PABLO NERUDA;1;245
121;CINEMA LANDOWSKI;28 AVENUE ANDRE-MORIZET;1;154
122;PATHE;26 RUE LE CORBUSIER;7;1492
123;LE CINEMA;10 AVENUE FRANCIS DE PRESSENSE;1;83
124;AUDITORIUM DU CONSERVATOIRE;11 BD CARNOT;1;177
125;BUXY;CENTRE COMMERCIAL VAL D'YERRES 2;5;797
126;LE RENAISSANCE;16 RUE DE L EGLISE;1;105
127;JEAN COCTEAU;3 RUE ANATOLE FRANCE;2;370
128;LES 4 VENTS;80 RUE DU GENERAL LECLERC;1;168
129;LA PLEIADE;12 AVENUE COUSIN DE MERICOURT;3;802
130;CINEMA DU THEATRE;8 AVENUE CHARLES DE GAULLE;1;319
131;UGC CINE CITE;8 PLACE DES 3 GARES;14;2768
132;JEAN GABIN;RUE PIERRE DE COUBERTIN;1;168
133;STUDIO 66;66 RUE JEAN JAURES;5;944
134;REX;364 AVE DE LA DIVISION LECLERC;2;551
135;CINEMA;7BIS RUE DE LA MAIRIE;1;226
136;LOUIS JOUVET;3 PLACE MAURICE BERTEAUX;2;536
137;ATRIUM;3 PARVIS ROBERT SCHUMAN;1;643
138;COSMOS;22 AV DE LA RESISTANCE;2;645
139;GAUMONT DISNEY VILLAGE;1 ESPLANADE FRANCOIS TRUFFAUT;15;3923
140;SALLE ANDRE MALRAUX;102 AV DU GENERAL DE GAULLE;1;405
141;FRANCOIS TRUFFAUT;2 RUE DE L ECOLE;2;409
142;SALLE PAUL ELUARD;4 AV DE VILLENEUVE ST GEORGES;1;181
143;CINEMA JEANNE MOREAU;22 RUE PAUL VAILLANT COUTURIER;1;176
144;ESPACE PHILIPPE NOIRET;PLACE CHARLES DE GAULLE;2;356
